"Qubit",T1 (us),T2 (us),"Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","63.30953205998956","4.721905257319033","-0.31197865973435573","0.03369140625","0.021484375","0.0458984375","1300","0.00018728661808055627","0","0.00018728661808055627","0.00018728661808055627",1_0:0.0043088205865958185,1_0:660,"true"
"1","158.45256790461264","306.6382369930084","4.815136886686477","-0.3097440319777085","0.025634765625","0.017578125","0.03369140625","1300","0.00036705806336570604","0","0.00036705806336570604","0.00036705806336570604",1_0:0.0043088205865958185,1_0:660,"true"
"2","222.5701288100302","257.90568250798316","4.609656708225","-0.3090875180776862","0.011474609375","0.01025390625","0.0126953125","1300","0.0003818250529918167","0","0.0003818250529918167","0.0003818250529918167","2_1:0.006814920276370318","2_1:660","true"
"3","319.36163221789286","385.7015753271962","4.875546361672497","-0.30968652168552707","0.030517578125","0.01708984375","0.0439453125","1300","0.00013750212190466902","0","0.00013750212190466902","0.00013750212190466902","3_2:0.010125244936565803","3_2:660","true"
"4","266.08785595418874","347.79350944705374","4.818169983483916","-0.3103713081153928","0.02001953125","0.02490234375","0.01513671875","1300","0.00012229029146498688","0","0.00012229029146498688","0.00012229029146498688","4_15:0.009728821342655958;4_3:0.004832638301646375;4_5:0.0035310554684775397","4_15:660;4_3:660;4_5:660","true"
"5","225.67540407570323","360.8532601024988","4.7341547310763685","-0.3114518235315779","0.0068359375","0.00927734375","0.00439453125","1300","0.00011259373877842816","0","0.00011259373877842816","0.00011259373877842816","","","true"
"6","239.13218329098913","84.1291959501624","4.876291127043162","-0.30918835047116894","0.010009765625","0.01318359375","0.0068359375","1300","0.00019130423112298088","0","0.00019130423112298088","0.00019130423112298088","6_5:0.0051747179638544916;6_7:0.004431200284564729","6_5:660;6_7:660","true"
"7","305.1706883653607","239.87665937547206","4.967503228716928","-0.30745739300983294","0.0166015625","0.01416015625","0.01904296875","1300","0.00017854858572238818","0","0.00017854858572238818","0.00017854858572238818","7_8:0.004249276024947124","7_8:660","true"
"8","388.14825392087386","261.9132668871914","4.902360994902699","-0.30837827664687645","0.01171875","0.013671875","0.009765625","1300","0.00016530207744822558","0","0.00016530207744822558","0.00016530207744822558","8_9:0.005924269666933879","8_9:660","true"
"9","407.7308807026865","195.39924281651906","4.987233567312411","-0.3080310587566364","0.013916015625","0.0087890625","0.01904296875","1300","0.00011084116838073276","0","0.00011084116838073276","0.00011084116838073276","","","true"
"10","170.16594938485383","271.1720696458229","4.831527244497341","-0.3097434424405673","0.022216796875","0.01611328125","0.0283203125","1300","0.00012143295763124916","0","0.00012143295763124916","0.00012143295763124916","10_9:0.003603746063461366;10_11:0.005028884483323837","10_9:660;10_11:660","true"
"11","205.7224190331731","434.74928590199846","4.9723887191418505","-0.307214316560019","0.141845703125","0.138671875","0.14501953125","1300","0.00020394433951862598","0","0.00020394433951862598","0.00020394433951862598","11_12:0.0053337119779920394","11_12:660","true"
"12","276.5444969633852","148.39368414137508","4.936321850521629","-0.3079608272575031","0.017578125","0.01220703125","0.02294921875","1300","0.00017323318181167662","0","0.00017323318181167662","0.00017323318181167662","12_17:0.004805867669686603","12_17:660","true"
"13","240.96281641306706","92.89150062588486","5.005803758042261","-0.3067650398842775","0.016357421875","0.01611328125","0.0166015625","1300","0.00029333203510177337","0","0.00029333203510177337","0.00029333203510177337","13_12:0.006648725241654496","13_12:660","true"
"14","298.2747641937444","108.5995862677898","4.903344737422966","-0.308419961199297","0.020263671875","0.013671875","0.02685546875","1300","0.00019530077331072695","0","0.00019530077331072695","0.00019530077331072695","14_0:0.0048524490265829945;14_18:0.006619093088729877","14_0:660;14_18:660","true"
"15","304.941767605406","36.59576584362243","4.947907109315612","-0.308052427832017","0.008544921875","0.0087890625","0.00830078125","1300","0.0005431308424500433","0","0.0005431308424500433","0.0005431308424500433","15_22:0.03329327450890551","15_22:660","true"
"16","220.8074474879836","15.824464968718818","4.960332209675662","-0.3076594514774509","0.012939453125","0.009765625","0.01611328125","1300","0.0001724845031988614","0","0.0001724845031988614","0.0001724845031988614","16_8:0.005212955252246354;16_26:0.03186708913833014","16_8:660;16_26:660","true"
"17","178.80765373164022","253.93639201008997","4.820815999107069","-0.30970435909943395","0.01806640625","0.013671875","0.0224609375","1300","0.00014143491818987097","0","0.00014143491818987097","0.00014143491818987097","17_30:0.005270281942978627","17_30:660","true"
"18","90.07400288987512","88.8972954809991","4.788131681391996","-0.31063598977187784","0.013671875","0.02197265625","0.00537109375","1300","0.0003423375514468755","0","0.0003423375514468755","0.0003423375514468755","18_19:0.008135779727188153","18_19:660","true"
"19","297.9115735982204","122.72170360149741","4.7470127541983","-0.31072395279331844","0.01416015625","0.01416015625","0.01416015625","1300","0.00026429093446349934","0","0.00026429093446349934","0.00026429093446349934","","","true"
"20","205.82183123493158","267.66374431005767","4.862344373616834","-0.3090978906556921","0.02685546875","0.00927734375","0.04443359375","1300","0.0001345063433998366","0","0.0001345063433998366","0.0001345063433998366","20_33:0.03145174977279036;20_19:0.0055475977383999675","20_33:660;20_19:660","true"
"21","268.1204990918453","131.597684443299","4.966489178568096","-0.30694839478531033","0.007568359375","0.00830078125","0.0068359375","1300","0.00020315557877080957","0","0.00020315557877080957","0.00020315557877080957","21_20:0.005725492997210702;21_22:0.03224580321141174","21_20:660;21_22:660","true"
"22","275.8668086066445","182.90874255378117","5.038195362941405","-0.3065535436677073","0.02197265625","0.02685546875","0.01708984375","1300","0.0016761671608359183","0","0.0016761671608359183","0.0016761671608359183","22_23:0.009742022199221823","22_23:660","true"
"23","329.2116414301762","152.6530300483845","4.844979209579568","-0.309395699354676","0.009765625","0.01220703125","0.00732421875","1300","0.00013496913319096566","0","0.00013496913319096566","0.00013496913319096566","","","true"
"24","230.84873319825118","119.6171321492539","5.10078649303592","-0.3054983979252499","0.13232421875","0.01318359375","0.25146484375","1300","0.0001558721660167606","0","0.0001558721660167606","0.0001558721660167606","24_23:0.004337968320984986;24_34:0.07022793310890624","24_23:660;24_34:660","true"
"25","215.43562208361718","159.88064896986242","4.945225748546381","-0.3084275156167526","0.017822265625","0.00732421875","0.0283203125","1300","0.00014622200210978972","0","0.00014622200210978972","0.00014622200210978972","25_24:0.005477851778668996","25_24:660","true"
"26","228.94403018509547","16.70742533866898","4.854111516835544","-0.30976922795032275","0.0341796875","0.0537109375","0.0146484375","1300","0.0018579613031877008","0","0.0018579613031877008","0.0018579613031877008","26_25:0.038155781802753364","26_25:660","true"
"27","326.91858935625186","205.327241806909","4.747642528677403","-0.31027519414312993","0.05908203125","0.060546875","0.0576171875","1300","0.00011897285100487261","0","0.00011897285100487261","0.00011897285100487261","27_26:0.031460750873663734","27_26:660","true"
"28","281.25860729336154","112.36857398521144","4.994404735606249","-0.3073714140177614","0.04541015625","0.0078125","0.0830078125","1300","0.00023048472163909615","0","0.00023048472163909615","0.00023048472163909615","28_27:0.008689741153099173;28_29:0.008030262468207816;28_35:0.007239752737996652","28_27:660;28_29:660;28_35:660","true"
"29","330.0988703062876","324.5330302485801","4.62864352948515","-0.3122408870668324","0.0224609375","0.02197265625","0.02294921875","1300","0.00016485345597739879","0","0.00016485345597739879","0.00016485345597739879","","","true"
"30","451.54306417141504","63.077668035494845","4.732967566627754","-0.31090012417705765","0.01123046875","0.013671875","0.0087890625","1300","0.00016151888882266042","0","0.00016151888882266042","0.00016151888882266042","30_29:0.007212634327458833;30_31:0.00994999246658057","30_29:660;30_31:660","true"
"31","83.55821541336894","63.29344989404628","4.797663384807813","-0.31025628620305007","0.0087890625","0.0087890625","0.0087890625","1300","0.0008847304122634946","0","0.0008847304122634946","0.0008847304122634946","31_32:0.008238353158594558","31_32:660","true"
"32","180.53883683159836","208.58953128675017","4.9103797489987215","-0.3078794303810588","0.012451171875","0.01025390625","0.0146484375","1300","0.00018038126237359542","0","0.00018038126237359542","0.00018038126237359542","32_36:0.005490104241329563","32_36:660","true"
"33","248.10753025210022","132.52928427525555","4.973179697471859","-0.3075486854907048","0.010498046875","0.0087890625","0.01220703125","1300","0.00016146168700538726","0","0.00016146168700538726","0.00016146168700538726","33_39:0.008624362711624534","33_39:660","true"
"34","317.53349157381024","128.20280061754016","4.678636143402687","-0.3124338462946453","0.03125","0.0322265625","0.0302734375","1300","0.00015982125104432456","0","0.00015982125104432456","0.00015982125104432456","34_43:0.008996324556186208","34_43:660","true"
"35","299.0232197390791","168.24689410775144","4.907592822575734","-0.308301773576246","0.017578125","0.013671875","0.021484375","1300","0.00020289359528859587","0","0.00020289359528859587","0.00020289359528859587","35_47:0.006159807007522888","35_47:660","true"
"36","293.03329869548344","357.03093411065055","4.812320088271115","-0.31175120998201256","0.013427734375","0.01025390625","0.0166015625","1300","0.0001376876339042059","0","0.0001376876339042059","0.0001376876339042059","36_51:0.0037105781889471556","36_51:660","true"
"37","218.94861274492885","118.8046313175148","4.837893596260817","-0.30886995110205334","0.011474609375","0.01171875","0.01123046875","1300","0.00014412456174812467","0","0.00014412456174812467","0.00014412456174812467","37_38:0.0059906171240878825","37_38:660","true"
"38","292.86876993276803","142.5496976785337","4.776679686934628","-0.31016511917022377","0.018310546875","0.015625","0.02099609375","1300","0.00023153612705168182","0","0.00023153612705168182","0.00023153612705168182","","","true"
"39","277.7871063230039","130.3708007459254","4.917290389167841","-0.30824769981735706","0.056640625","0.07421875","0.0390625","1300","0.0015980157770630959","0","0.0015980157770630959","0.0015980157770630959","39_38:0.012214013118151401","39_38:660","true"
"40","148.6326259388869","16.05634675440653","4.868229793058646","-0.30859152479413265","0.02001953125","0.0205078125","0.01953125","1300","0.0007542651402088246","0","0.0007542651402088246","0.0007542651402088246","40_41:0.01297272478880901;40_39:0.02563097112627427","40_41:660;40_39:660","true"
"41","246.62591526881147","311.1431416381917","4.935537241830892","-0.30862641143413133","0.010009765625","0.01025390625","0.009765625","1300","0.0002958493441907095","0","0.0002958493441907095","0.0002958493441907095","41_53:0.017890070689364157","41_53:660","true"
"42","189.76718619908033","131.66450400746652","5.063945455635412","-0.3066601274184393","0.015869140625","0.013671875","0.01806640625","1300","0.00017343820418390152","0","0.00017343820418390152","0.00017343820418390152","42_41:0.00941701650532678;42_43:0.006372278249269392","42_41:660;42_43:660","true"
"43","331.7402607251488","112.74452710782795","4.829562622844446","-0.3101290706249939","0.014892578125","0.01904296875","0.0107421875","1300","0.00030356409046332605","0","0.00030356409046332605","0.00030356409046332605","43_44:0.008929187370226799","43_44:660","true"
"44","269.98174305452426","19.84795050253922","4.949169491471418","-0.3085061819189273","0.017822265625","0.015625","0.02001953125","1300","0.0003159823983502998","0","0.0003159823983502998","0.0003159823983502998","44_45:0.011059950602890556","44_45:660","true"
"45","102.98731307735318","21.88068915250893","4.999413985349006","-0.35905492913025383","0.06640625","0.07763671875","0.05517578125","1300","0.0009708262990954253","0","0.0009708262990954253","0.0009708262990954253","","","true"
"46","250.02393432599092","195.3834263053613","4.853139378275407","-0.3093752065131216","0.011962890625","0.0146484375","0.00927734375","1300","0.00022838588879219626","0","0.00022838588879219626","0.00022838588879219626","46_45:0.025356312898532463;46_47:0.006720776356856972","46_45:660;46_47:660","true"
"47","138.3600613623228","130.32794741744257","4.769546051062734","-0.3109329882546267","0.0048828125","0.00537109375","0.00439453125","1300","0.00024033320290510577","0","0.00024033320290510577","0.00024033320290510577","","","true"
"48","51.12237312409081","29.198655712294986","4.844174130977653","-0.3101551740988557","0.013916015625","0.0166015625","0.01123046875","1300","0.0002744579270293083","0","0.0002744579270293083","0.0002744579270293083","48_47:0.007079467933520989;48_49:0.00983610045715344","48_47:660;48_49:660","true"
"49","281.13805893068695","57.27051383847854","4.697334178531343","-0.312183453636997","0.011962890625","0.0087890625","0.01513671875","1300","0.00028325242657545124","0","0.00028325242657545124","0.00028325242657545124","","","true"
"50","320.47543079154235","39.967273024862465","4.784045823807964","-0.31049210238863767","0.0263671875","0.0283203125","0.0244140625","1300","0.0006532513044218257","0","0.0006532513044218257","0.0006532513044218257","50_49:0.016689021416394167;50_51:0.019818634220380937","50_49:660;50_51:660","true"
"51","230.6207330635914","334.79387354868095","4.931195890435299","-0.3079514036835037","0.02783203125","0.03369140625","0.02197265625","1300","0.00019431694599598753","0","0.00019431694599598753","0.00019431694599598753","","","true"
"52","244.51041100738354","170.24385792491282","4.915262183027959","-0.30801090653647334","0.00830078125","0.0087890625","0.0078125","1300","0.0001908738992352856","0","0.0001908738992352856","0.0001908738992352856","52_37:0.004618817794543262;52_56:0.004763944394010955","52_37:660;52_56:660","true"
"53","174.21156546998012","222.4693675691168","4.996581168703469","-0.30683792833129964","0.009521484375","0.00830078125","0.0107421875","1300","0.00018492695327366335","0","0.00018492695327366335","0.00018492695327366335","53_60:0.007205757194451712","53_60:660","true"
"54","252.65872958468964","162.72568506356285","4.969571487102852","-0.3069935236147513","0.020751953125","0.02880859375","0.0126953125","1300","0.00041577019760706335","0","0.00041577019760706335","0.00041577019760706335","54_64:0.00728534600738262;54_45:0.018362155138416547","54_64:660;54_45:660","true"
"55","269.6452159101992","128.30315870510958","4.837202474432625","-0.31038048092010345","0.014404296875","0.01025390625","0.0185546875","1300","0.00018947288318689736","0","0.00018947288318689736","0.00018947288318689736","55_68:0.004844850030661707;55_49:0.008351126012844268","55_68:660;55_49:660","true"
"56","225.2430920871339","182.36706450363508","4.814521932599633","-0.30974571553277236","0.01904296875","0.01806640625","0.02001953125","1300","0.00016102790629212718","0","0.00016102790629212718","0.00016102790629212718","56_57:0.00638645124637105","56_57:660","true"
"57","201.89447284849786","164.78160526526122","4.927650736666513","-0.30778611849622645","0.01416015625","0.013671875","0.0146484375","1300","0.0008673900757420555","0","0.0008673900757420555","0.0008673900757420555","57_58:0.006949348764265395","57_58:660","true"
"58","283.91391471841956","184.7536673678886","4.886984046781581","-0.30930018015034827","0.01171875","0.013671875","0.009765625","1300","0.0001230373294899689","0","0.0001230373294899689","0.0001230373294899689","58_71:0.003371890187076898;58_59:0.004586550389401034","58_71:660;58_59:660","true"
"59","206.2522410917234","39.33243161514659","4.971241191776968","-0.30762691104199297","0.01171875","0.0146484375","0.0087890625","1300","0.00010125566098080979","0","0.00010125566098080979","0.00010125566098080979","59_60:0.005503491924246651","59_60:660","true"
"60","299.675989503493","117.63792466022232","4.766262626464136","-0.31054248475500074","0.02783203125","0.0283203125","0.02734375","1300","0.00043686055065027593","0","0.00043686055065027593","0.00043686055065027593","60_61:0.015421378810713149","60_61:660","true"
"61","260.1402852273853","140.7172392570388","4.793795363140834","-0.29056402780855567","0.010009765625","0.00927734375","0.0107421875","1300","0.0005530057631206941","0","0.0005530057631206941","0.0005530057631206941","","","true"
"62","195.72497906589896","179.145931143521","4.935222562929848","-0.3079921198487331","0.020263671875","0.015625","0.02490234375","1300","0.00019422033272823932","0","0.00019422033272823932","0.00019422033272823932","62_72:0.008059415844317186;62_61:0.007021419138366625;62_63:0.01653942899476457","62_72:660;62_61:660;62_63:660","true"
"63","267.91011711147246","183.08754126266712","5.041621214683695","-0.30694631371315323","0.011474609375","0.01171875","0.01123046875","1300","0.00039854627732584285","0","0.00039854627732584285","0.00039854627732584285","63_64:0.006433330574506346","63_64:660","true"
"64","264.0524178930716","197.24580778391726","4.82156798653124","-0.30967161679000116","0.008056640625","0.00927734375","0.0068359375","1300","0.00020011734076895167","0","0.00020011734076895167","0.00020011734076895167","","","true"
"65","289.518799978639","99.6618811648041","4.957160408304546","-0.3075262411046977","0.013427734375","0.01513671875","0.01171875","1300","0.0002570861838274855","0","0.0002570861838274855","0.0002570861838274855","65_64:0.006048938809711968;65_66:0.007075130535366458","65_64:660;65_66:660","true"
"66","133.09170461327426","134.50915468882246","4.885009719865577","-0.3091067496263565","0.01171875","0.01318359375","0.01025390625","1300","0.00035957624796328366","0","0.00035957624796328366","0.00035957624796328366","","","true"
"67","197.21898070581028","120.22828201013544","5.113927890654797","-0.3058889857295697","0.03369140625","0.0380859375","0.029296875","1300","0.000259098742822618","0","0.000259098742822618","0.000259098742822618","67_68:0.0071078008133232395;67_66:0.012244463511050296","67_68:660;67_66:660","true"
"68","183.57618119247172","28.625314833415775","4.743731762990616","-0.31111458963233274","0.154296875","0.28564453125","0.02294921875","1300","0.00018281138382552527","0","0.00018281138382552527","0.00018281138382552527","","","true"
"69","204.1585417173979","136.18014987652433","5.117671999331766","-0.3044028997353383","0.018798828125","0.02001953125","0.017578125","1300","0.00029923173284005113","0","0.00029923173284005113","0.00029923173284005113","69_68:0.006348944959134795;69_70:0.005788738672951599","69_68:660;69_70:660","true"
