"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","276.6872630346952","343.9210231516938","4.655627440037009","-0.3110632460863657","0.0380859375","0.015625","0.060546875","1244.4444444444443","0.0008609117657425068","0","0.0008609117657425068","0.0008609117657425068","0_1:0.005364725173830104;0_14:0.009206273884192873","0_1:561.7777777777777;0_14:561.7777777777777","true"
"1","475.0609224555534","188.1609469797501","4.534963273799841","-0.31302980539784336","0.060546875","0.01953125","0.1015625","1244.4444444444443","0.0002105925256068185","0","0.0002105925256068185","0.0002105925256068185","1_2:0.009548786450433888","1_2:561.7777777777777","true"
"2","240.76774200049172","105.84349749866249","4.680126267555409","-0.3092563684570482","0.0146484375","0.005859375","0.0234375","1244.4444444444443","0.0002633015589563106","0","0.0002633015589563106","0.0002633015589563106","2_3:0.003931687151634861","2_3:561.7777777777777","true"
"3","354.4795905064539","151.28749795208728","4.606652698643197","-0.25135835423971303","0.033203125","0.029296875","0.037109375","1244.4444444444443","0.00015560462011428837","0","0.00015560462011428837","0.00015560462011428837","","","true"
"4","163.52211857394929","120.24727283186418","4.462319281843305","-0.25507850560311957","0.0302734375","0.029296875","0.03125","1244.4444444444443","0.0007068957550443536","0","0.0007068957550443536","0.0007068957550443536","4_3:0.008052475401902293;4_15:0.01025308833568353","4_3:561.7777777777777;4_15:561.7777777777777","true"
"5","291.9429542797408","355.976172400066","4.426691885537007","-0.2804432142711162","0.015600000000000058","0.018","0.01319999999999999","1244.4444444444443","0.0002576921157921556","0","0.0002576921157921556","0.0002576921157921556","5_4:0.01184988528875347","5_4:561.7777777777777","true"
"6","354.64442280269554","173.18807124961006","4.640080395889755","-0.3108103399516748","0.005800000000000027","0.007199999999999984","0.0044","1244.4444444444443","0.00010362730954386347","0","0.00010362730954386347","0.00010362730954386347","6_5:0.007195799568780636","6_5:561.7777777777777","true"
"7","521.0165757187674","477.6139591702136","4.475689956441085","-0.2813271220492828","0.0027000000000000357","0.0036","0.0018000000000000238","1244.4444444444443","0.00010303026217501928","0","0.00010303026217501928","0.00010303026217501928","7_8:0.008528224369743626;7_6:0.011758190086961634","7_8:561.7777777777777;7_6:561.7777777777777","true"
"8","502.1799493905771","263.29960152308416","4.401789343759238","-0.25507427876459826","0.04390000000000005","0.04079999999999995","0.047","1244.4444444444443","0.0004307317989888876","0","0.0004307317989888876","0.0004307317989888876","8_9:0.028677066132720336","8_9:561.7777777777777","true"
"9","405.7820413920795","322.0563893694213","4.519010129954161","-0.29730654926594685","0.012399999999999967","0.014599999999999946","0.0102","1244.4444444444443","0.0002140942505859719","0","0.0002140942505859719","0.0002140942505859719","","","true"
