n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,gate,2,0,0.17883530309350232,0.23746934091601826,0.71,0.59,0.012663195456026106,corners3d
1,mixed,2,0,0.24396820590531557,0.2558373370637817,0.5833333333333334,0.61,0.002321697304511948,corners3d
5,gate,2,0,0.160631521997513,0.2579315997703279,0.78,0.59,0.01262406569678873,corners3d
5,mixed,2,0,0.14808149260422487,0.19694313889209225,0.78,0.69,0.0002681799778985931,corners3d
10,gate,2,0,0.14644476663732875,0.220628306857419,0.8566666666666667,0.63,0.03027210964335072,corners3d
10,mixed,2,0,0.11413108478179965,0.1407745223642093,0.87,0.87,0.00012872693177898723,corners3d
15,gate,2,0,0.15744149812198371,0.24677741998972277,0.8766666666666667,0.57,0.03238581397836239,corners3d
15,mixed,2,0,0.12231247187580108,0.147623331445948,0.88,0.85,0.0002695087829529758,corners3d
20,gate,2,0,0.16223391974889276,0.24617316215448462,0.8966666666666666,0.54,0.013758279979425511,corners3d
20,mixed,2,0,0.13873036859568166,0.19169205345901436,0.87,0.7,0.00014400695225830887,corners3d
25,gate,2,0,0.17138477905788144,0.2454534965197966,0.92,0.51,0.018544870218856657,corners3d
25,mixed,2,0,0.13923519213751276,0.18363822391628226,0.8966666666666666,0.78,0.0002160440955595327,corners3d
30,gate,2,0,0.1833575487540491,0.24345188332050813,0.9466666666666667,0.57,0.009548917224110597,corners3d
30,mixed,2,0,0.14649487073584774,0.17396311727364186,0.8833333333333333,0.82,0.00011972395292533172,corners3d
