n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,gate,2,0,0.13214542701788914,0.10923074872516408,0.8066666666666666,0.87,0.012623999554761352,digits_56
1,mixed,2,0,0.1951060685663279,0.14269325823660733,0.73,0.86,0.003191651877705451,digits_56
5,gate,2,0,0.09205144250459524,0.14461938236419825,0.9066666666666666,0.78,0.028131462516291002,digits_56
5,mixed,2,0,0.10378769970606877,0.09406881731903514,0.8866666666666667,0.91,8.247784721384165e-05,digits_56
10,gate,2,0,0.09982038577995768,0.15532869172323063,0.9266666666666666,0.8,0.02750201435679516,digits_56
10,mixed,2,0,0.102900654051632,0.10331863029536859,0.89,0.9,0.00018537626348806468,digits_56
15,gate,2,0,0.11676542405020653,0.15738794139041745,0.94,0.86,0.03407060860489519,digits_56
15,mixed,2,0,0.10057257620552738,0.1021268807815963,0.9066666666666666,0.92,0.00016019607519199796,digits_56
20,gate,2,0,0.13953500448714842,0.1852101024036582,0.9433333333333334,0.83,0.025536190539521247,digits_56
20,mixed,2,0,0.12112945327799234,0.1327737139128799,0.89,0.89,0.00015124570371282422,digits_56
25,gate,2,0,0.15731804811171715,0.20401602872468885,0.93,0.75,0.011696944622401482,digits_56
25,mixed,2,0,0.10641763742195144,0.12243224662883363,0.9133333333333333,0.88,5.2803415966855696e-05,digits_56
