n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
1,gate,2,1,0.24309193941072096,0.2866957341345653,0.51,0.53,0.012179129538902465,helix
1,mixed,2,1,0.2491867664245739,0.2697874986075822,0.5566666666666666,0.52,7.598881803956285e-05,helix
5,gate,2,1,0.14930975695428705,0.3399383921749377,0.5133333333333333,0.7,0.04550169627663274,helix
5,mixed,2,1,0.2123517539011045,0.315739096216845,0.64,0.73,5.321821597530665e-05,helix
10,gate,2,1,0.13323598553102822,0.27637547781458255,0.73,0.55,0.023652254311416415,helix
10,mixed,2,1,0.1166206704909744,0.3586890265097969,0.92,0.89,0.0001082416759968841,helix
15,gate,2,1,0.13681816140912903,0.28093776607437326,0.8333333333333334,0.62,0.016475391005895023,helix
15,mixed,2,1,0.090564176261859,0.35000511326137984,0.9633333333333334,0.87,0.0002134637551552694,helix
20,gate,2,1,0.14898625545654492,0.2833516115109636,0.9233333333333333,0.65,0.011371144063209977,helix
20,mixed,2,1,0.09502322630537295,0.315255997007121,0.9766666666666667,0.85,0.00017432222118798056,helix
25,gate,2,1,0.16961339521926064,0.25654246385171225,0.9066666666666666,0.58,0.005297368167086686,helix
25,mixed,2,1,0.11698393391432382,0.3121228104687273,0.94,0.85,0.00020077612247698215,helix
30,gate,2,1,0.17439727778906225,0.24424998119868147,0.9466666666666667,0.63,0.00960747699443155,helix
30,mixed,2,1,0.11129198611838637,0.31330752365220305,0.9766666666666667,0.92,0.00011971751489521379,helix
