n_qubits,n_layers,seed,gate_train_loss,mixed_train_loss,gate_acc_train,mixed_acc_train,gate_acc_test,mixed_acc_test,gate_lr,mixed_lr,dataset,pulsed_train_loss,pulsed_acc_train,pulsed_acc_test,pulsed_lr
2,1,0,0.2233602914000579,0.2458917238212251,0.64,0.5733333333333334,0.6,0.46,0.0333175406576537,0.0008518212819525,digits_08,0.1188059774587632,0.8266666666666667,0.65,0.0057595219369859
2,1,1,0.1877030352621821,0.2296261355344664,0.5866666666666667,0.5166666666666666,0.54,0.55,0.0276491315738804,0.0477805952358838,digits_08,0.1728381647303784,0.5066666666666667,0.67,0.0057458747352598
2,1,2,0.2129232709405742,0.2499395698953264,0.6766666666666666,0.5666666666666667,0.53,0.51,0.0156353188540212,0.0009290459171934,digits_08,0.1314274518060907,0.8333333333333334,0.5,0.0046291298925445
2,1,3,0.3069368727129282,0.2882991094103158,0.51,0.5133333333333333,0.54,0.5,0.0214708737588822,0.0486064167396418,digits_08,0.3671605649058558,0.6,0.54,0.0022617766498425
2,1,4,0.2244712234330007,0.2446160536473496,0.6333333333333333,0.5433333333333333,0.68,0.6,0.0191018063270768,0.0015039701157368,digits_08,,,,
2,1,5,0.2340174535309679,0.2637639434452886,0.6333333333333333,0.5466666666666666,0.52,0.55,0.0178203497041617,5.119330872737638e-05,digits_08,,,,
2,5,0,0.1074121829480505,0.0983382863388371,0.8833333333333333,0.88,0.58,0.89,0.0345150419551163,0.0001317808516787,digits_08,0.1001662388703033,0.8933333333333333,0.68,0.0001832844076888
2,5,1,0.0995233181561993,0.0709664570296856,0.72,0.92,0.68,0.79,0.0357765722390815,0.0001560972908605,digits_08,0.1371174566609321,0.8233333333333334,0.63,8.924298885942663e-05
2,5,2,0.1241215453787826,0.1176819794806531,0.8566666666666667,0.8533333333333334,0.54,0.81,0.0395301729773858,5.927007099736396e-05,digits_08,0.1177888323720216,0.8633333333333333,0.6,0.0004893089794817
2,5,3,0.436045475053778,0.5544298133309706,0.6766666666666666,0.6766666666666666,0.7,0.88,0.0307063371997947,0.0002741985438349,digits_08,0.5486038212992403,0.6233333333333333,0.79,0.0002651153961239
2,5,4,0.0853896555380976,0.0906819013235692,0.92,0.8933333333333333,0.6,0.73,0.0311215944760162,0.000438538183387,digits_08,,,,
2,5,5,0.2369784963140586,0.1281100441638426,0.9,0.9233333333333332,0.57,0.85,0.0132256554411407,0.0001003029358231,digits_08,,,,
