n_qubits,n_layers,seed,dataset,model,train_loss,test_loss,acc_train,acc_test,lr
2,1,0,digits_08,gate,0.2233602914000579,0.2909388764208101,0.64,0.6,0.0333175406576537
2,1,1,digits_08,gate,0.1877030352621821,0.2530411950609423,0.5866666666666667,0.54,0.0276491315738804
2,1,2,digits_08,gate,0.2129232709405742,0.2555650052284368,0.6766666666666666,0.53,0.0156353188540212
2,1,3,digits_08,gate,0.3069368727129282,0.2587320453432687,0.51,0.54,0.0214708737588822
2,1,4,digits_08,gate,0.2244712234330007,0.2687255686649943,0.6333333333333333,0.68,0.0191018063270768
2,1,5,digits_08,gate,0.2340174535309679,0.3147422585898593,0.6333333333333333,0.52,0.0178203497041617
2,5,0,digits_08,gate,0.1074121829480505,0.2364059360519001,0.8833333333333333,0.58,0.0345150419551163
2,5,1,digits_08,gate,0.0995233181561993,0.3120997449084868,0.72,0.68,0.0357765722390815
2,5,2,digits_08,gate,0.1241215453787826,0.1566971330039355,0.8566666666666667,0.54,0.0395301729773858
2,5,3,digits_08,gate,0.436045475053778,0.3413628905366295,0.6766666666666666,0.7,0.0307063371997947
2,5,4,digits_08,gate,0.0853896555380976,0.4055461741234324,0.92,0.6,0.0311215944760162
2,5,5,digits_08,gate,0.2369784963140586,0.2778038848529032,0.9,0.57,0.0132256554411407
2,6,0,digits_08,gate,0.0816566932725622,0.2100182344548847,0.9366666666666666,0.43,0.0497264092110268
2,10,0,digits_08,gate,0.1125498033246762,0.2244250401744335,0.91,0.54,0.0222588918101013
2,10,1,digits_08,gate,0.119989322383577,0.2812875618388593,0.7966666666666666,0.64,0.0159007151755017
2,10,2,digits_08,gate,0.1330880564053372,0.2088038742047701,0.8666666666666667,0.58,0.0163597188787288
2,10,3,digits_08,gate,0.410760131233814,0.3104752814387188,0.6,0.64,0.0161777157647095
2,10,4,digits_08,gate,0.1011169956203589,0.3476625760955353,0.9233333333333332,0.62,0.0442648553285861
2,10,5,digits_08,gate,0.1892873767956869,0.3455265404668449,0.93,0.5800000000000001,0.0338783142171087
2,11,0,digits_08,gate,0.1012219628331104,0.2258659869371076,0.9533333333333334,0.53,0.0205450465086642
2,15,0,digits_08,gate,0.1249523499050434,0.217969409541202,0.92,0.59,0.0276288258398894
2,15,1,digits_08,gate,0.1347129796421678,0.2964283515872394,0.9233333333333332,0.7,0.0146950030856364
2,15,2,digits_08,gate,0.1462424393706615,0.207911322844144,0.9,0.64,0.0209198494281548
2,15,3,digits_08,gate,0.4038510431968923,0.3333958738485846,0.6333333333333333,0.72,0.0125767049104097
2,15,4,digits_08,gate,0.115958212218565,0.3327950641399914,0.95,0.53,0.0170018403507053
2,15,5,digits_08,gate,0.2562615458403074,0.2996052444829683,0.97,0.55,0.0149745022034115
2,16,0,digits_08,gate,0.1185388620634726,0.2801969012172851,0.9633333333333334,0.5,0.0209129905566639
2,20,0,digits_08,gate,0.1444974043158028,0.2195626144081367,0.9366666666666666,0.53,0.0204234522361044
2,20,1,digits_08,gate,0.1441612334177046,0.263952770273856,0.8666666666666667,0.59,0.0091072637082952
2,20,2,digits_08,gate,0.1624267159021935,0.2230813147599278,0.8966666666666666,0.52,0.0084609203140555
2,20,3,digits_08,gate,0.3551682615488282,0.2875447002594634,0.6133333333333333,0.7,0.01168740395985
