,n_qubits,n_layers,seed,gate_train_loss,gate_acc_train,gate_acc_test,gate_lr,mixed_train_loss,mixed_acc_train,mixed_acc_test,mixed_lr,dataset,p
3,2,20,0,0.1440661205004599,0.94,0.56,0.0118102472744142,0.1044754490956356,0.91,0.82,0.0001700010200831,digits_08,0.0
6,2,20,0,0.1440661205004599,0.94,0.56,0.0118102472744142,0.1044754490956356,0.91,0.82,0.0001700010200831,digits_08,0.0
26,2,20,0,0.2435606549354191,0.81,0.55,0.0404484934423373,0.2210264029796225,0.8733333333333333,0.81,0.0001156044676926,digits_08,0.03
30,2,20,0,0.2435606549354191,0.81,0.55,0.0404484934423373,0.2210264029796225,0.8733333333333333,0.81,0.0001156044676926,digits_08,0.03
49,2,20,0,0.2474239154786701,0.58,0.54,0.0495186312238774,0.241904702196369,0.81,0.87,0.0002431692935483,digits_08,0.06
54,2,20,0,0.2474239154786701,0.58,0.54,0.0495186312238774,0.241904702196369,0.81,0.87,0.0002431692935483,digits_08,0.06
75,2,20,0,0.2484795651572029,0.5366666666666666,0.56,0.0443785711831771,0.2463382277761894,0.8066666666666666,0.86,0.0002463327604057,digits_08,0.09
79,2,20,0,0.2484795651572029,0.5366666666666666,0.56,0.0443785711831771,0.2463382277761894,0.8066666666666666,0.86,0.0002463327604057,digits_08,0.09
100,2,20,0,0.2490325263660029,0.5633333333333334,0.55,0.0407523291004658,0.247871779933872,0.8033333333333333,0.85,0.0004470186005451,digits_08,0.12
104,2,20,0,0.2490325263660029,0.5633333333333334,0.55,0.0407523291004658,0.247871779933872,0.8033333333333333,0.85,0.0004470186005451,digits_08,0.12
125,2,20,0,0.2493155975922591,0.5366666666666666,0.56,0.0430880224435657,0.2486492379751015,0.7933333333333333,0.78,0.0003800747677708,digits_08,0.15
129,2,20,0,0.2493155975922591,0.5366666666666666,0.56,0.0430880224435657,0.2486492379751015,0.7933333333333333,0.78,0.0003800747677708,digits_08,0.15
