,n_layers,model,n_qubits,seed,train_loss,test_loss,acc_train,acc_test,lr,dataset
0,10,gate,2,0,0.2961164609938785,0.2244250401744335,0.691,0.66,,digits_08
1,10,mixed,2,0,0.3386969710320008,0.1268147554329697,0.935,0.81,,digits_08
0,10,gate,2,1,0.155148892583825,0.2812875618388593,0.821,0.61,,digits_08
1,10,mixed,2,1,0.054225830657237,0.3963036296987773,0.955,0.91,,digits_08
0,10,gate,2,2,0.1910109957456581,0.2088038742047701,0.727,0.65,,digits_08
1,10,mixed,2,2,0.0999208462809115,0.1080158819549737,0.892,0.87,,digits_08
0,10,gate,2,3,0.3501618978178587,0.3104752814387188,0.718,0.63,,digits_08
1,10,mixed,2,3,0.5176632928760369,0.4124225309824417,0.8220000000000001,0.74,,digits_08
0,10,gate,2,4,0.165081048615796,0.3476625760955353,0.627,0.6599999999999999,,digits_08
1,10,mixed,2,4,0.0742579716904005,0.4815076909444731,0.877,0.76,,digits_08
0,10,gate,2,5,0.4081027542820261,0.3455265404668449,0.748,0.6699999999999999,,digits_08
1,10,mixed,2,5,0.6414134097321857,0.6086602314834333,0.916,0.9,,digits_08
0,11,gate,2,0,0.2956275212628746,0.2258659869371076,0.786,0.66,,digits_08
1,11,mixed,2,0,0.5261635729629537,0.1684436866561967,0.898,0.76,,digits_08
0,15,gate,2,0,0.2975775183339005,0.217969409541202,0.696,0.64,,digits_08
1,15,mixed,2,0,0.3137624041877526,0.1197040950916521,0.923,0.83,,digits_08
0,15,gate,2,1,0.1820535960589716,0.2964283515872394,0.764,0.64,,digits_08
1,15,mixed,2,1,0.0685210745172204,0.3294106857210381,0.947,0.89,,digits_08
0,15,gate,2,2,0.2087975218012167,0.207911322844144,0.691,0.75,,digits_08
1,15,mixed,2,2,0.1201076903000668,0.1352901897186854,0.859,0.81,,digits_08
0,15,gate,2,3,0.3350672565038636,0.3333958738485846,0.714,0.73,,digits_08
1,15,mixed,2,3,0.5268394017024258,0.4354776355118835,0.917,0.79,,digits_08
0,15,gate,2,4,0.1948580159737605,0.3327950641399914,0.503,0.6799999999999999,,digits_08
1,15,mixed,2,4,0.0847561921674555,0.4743803283539005,0.7989999999999999,0.77,,digits_08
0,15,gate,2,5,0.3598312575566386,0.2996052444829683,0.742,0.5900000000000001,,digits_08
1,15,mixed,2,5,0.5821450874599019,0.5168982604832347,0.897,0.84,,digits_08
0,16,gate,2,0,0.2924597731378447,0.2801969012172851,0.5449999999999999,0.54,,digits_08
1,16,mixed,2,0,0.36120049926633,0.1275787449824795,0.943,0.85,,digits_08
0,1,gate,2,0,0.2864587937453471,0.2909388764208101,0.619,0.51,,digits_08
1,1,mixed,2,0,0.2958652797415741,0.2920339112339701,0.614,0.61,,digits_08
0,1,gate,2,1,0.2139707113578395,0.2530411950609423,0.666,0.66,,digits_08
